No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
1232,   0,   3,   1,     8,  183,    492,     480,   7900,     9852,     21367,     45582,   147598,    319870,   553336
1231,   0,   0,   1,     7,  162,    383,     372,   5521,     7641,     16175,     30788,   115290,    239605,   415945
1230,   0,   0,   2,    10,  216,    501,     434,   7794,     9348,     20612,     43326,   141414,    306069,   529726
1229,   0,   1,   1,     6,  158,    288,     426,   4169,     7066,     18539,     21844,   100540,    257787,   410825
1228,   0,   1,   1,    13,  193,    459,     467,   6548,     9128,     21088,     33944,   131868,    304927,   508637
1227,   0,   0,   1,     4,  123,    288,     281,   4394,     5876,     13308,     23623,    87050,    197019,   331967
1226,   0,   2,   2,    10,  232,    674,     433,   9105,     9769,     19814,     45054,   133702,    270074,   488871
1225,   0,   0,   0,     6,  168,    390,     294,   5462,     5900,     12077,     30236,    83982,    171289,   309804
1224,   0,   0,   2,     6,  141,    427,     341,   6784,     7580,     16091,     36937,   113963,    237202,   419474
1223,   1,   3,   0,    12,  205,    435,     481,   6421,     9418,     23455,     33539,   137417,    350052,   561439
1222,   0,   0,   4,    21,  370,    879,     804,  13078,    16728,     36117,     66914,   238806,    514847,   888568
1221,   0,   0,   1,     5,   89,    257,     221,   4129,     4797,     10902,     23473,    74421,    164967,   283262
1220,   0,   1,   0,     4,  148,    347,     348,   4831,     6821,     16074,     25702,   101529,    251082,   406887
1219,   0,   2,   1,     7,  206,    391,     381,   5079,     7861,     16732,     23272,   101837,    222187,   377956
1218,   0,   2,   2,    17,  245,    453,     471,   6614,    10127,     20720,     34842,   139797,    287227,   500517
1217,   0,   0,   2,     2,  107,    226,     254,   3268,     4818,     11584,     17492,    72280,    176249,   286282
1216,   0,   2,   1,     7,  143,    337,     326,   5448,     7165,     15210,     29764,   110895,    229720,   399018
1215,   0,   1,   0,     4,  127,    235,     302,   3713,     5851,     13310,     18566,    80498,    190558,   313165
1214,   0,   0,   0,     6,  146,    368,     312,   5451,     7137,     15068,     29153,   106969,    228081,   392691
1213,   0,   1,   1,     2,  109,    251,     253,   3635,     5052,     11712,     18701,    73329,    171208,   284254
1212,   0,   2,   0,     9,  167,    376,     404,   5765,     8248,     17360,     30020,   117719,    251030,   431100
1211,   0,   1,   0,     3,  135,    267,     327,   3854,     5980,     14566,     19935,    84521,    198077,   327666
1210,   0,   0,   1,     5,  134,    307,     333,   4645,     6426,     14516,     24940,    98286,    219122,   368715
1209,   1,   0,   2,     4,  152,    409,     304,   5535,     6271,     12685,     27135,    87682,    178288,   318468
1208,   0,   0,   1,     5,  146,    318,     353,   5155,     7390,     16703,     28084,   111828,    251758,   421741
1207,   0,   0,   2,     5,   83,    260,     291,   3671,     5195,     12267,     19272,    77994,    181749,   300789
1206,   0,   0,   2,     7,  142,    318,     291,   5512,     6320,     14148,     32441,   101891,    221637,   382709
1205,   0,   1,   0,    11,  169,    297,     369,   4599,     6797,     16518,     24710,    98294,    243751,   395516
1204,   0,   0,   2,    15,  234,    646,     533,   8947,    11500,     23290,     44027,   158972,    324411,   572577
1203,   0,   2,   1,     7,  181,    372,     365,   5188,     7875,     15709,     26680,   109456,    223780,   389616
1202,   0,   2,   1,     9,  233,    436,     527,   6242,     9628,     22799,     31993,   130608,    317505,   519983
1201,   0,   3,   2,     7,  161,    359,     347,   5280,     6747,     14604,     26249,    93825,    205927,   353511
1200,   0,   1,   3,    12,  221,    421,     504,   5697,     8841,     20999,     29678,   122892,    289578,   478847
1199,   0,   0,   1,     4,  116,    217,     273,   3192,     5126,     12409,     16888,    75604,    183608,   297438
1198,   1,   2,   3,     7,  225,    440,     529,   6252,    10120,     24402,     33100,   146178,    353729,   574988
1197,   0,   0,   2,    24,  389,    635,     765,   7842,    11314,     23959,     35710,   136886,    287565,   505091
1196,   0,   1,   2,    15,  265,    649,     530,   9459,    11773,     24262,     48554,   165266,    347224,   608000
1195,   0,   0,   1,     7,  143,    306,     331,   4626,     6697,     15880,     24778,   100052,    233759,   386580
1194,   0,   3,   5,    12,  435,    646,    1250,   9904,    16398,     47605,     50941,   220638,    607822,   955659
1193,   0,   1,   2,     8,  141,    301,     323,   4174,     6565,     13005,     23577,    92993,    186868,   327958
1192,   0,   1,   3,    10,  162,    596,     368,   9045,     8582,     17329,     46517,   127653,    255809,   466075
1191,   0,   1,   3,    15,  319,    808,     711,  10789,    14925,     31184,     55723,   213267,    437719,   765464
1190,   0,   1,   6,    12,  351,    771,     812,  10703,    15631,     36670,     58807,   226415,    533838,   884017
1189,   0,   0,   3,    16,  229,    529,     485,   7731,    10327,     23329,     43423,   156535,    352117,   594724
1188,   0,   4,   1,    12,  330,    629,     687,  10355,    14498,     33091,     55685,   222951,    502894,   841137
1187,   0,   1,   5,    10,  296,    503,     617,   7058,    11065,     23327,     39452,   161567,    336592,   580493
1186,   0,   0,   6,    13,  332,    694,     733,  10262,    14147,     32613,     57408,   211826,    489318,   817352
1185,   0,   2,   1,    15,  177,    459,     384,   7120,     8122,     17524,     37756,   118149,    253371,   443080
1184,   0,   3,   2,     7,  252,    525,     608,   7096,    11278,     26290,     37349,   154369,    372459,   610238
1183,   0,   0,   2,    10,  145,    311,     353,   4580,     6866,     16514,     24310,   102493,    244218,   399802
1182,   0,   0,   1,    12,  192,    486,     446,   6850,     9820,     22854,     35803,   140147,    326799,   543410
1181,   0,   0,   2,     3,  120,    347,     275,   5481,     6282,     13740,     30738,   100414,    214986,   372388
1180,   0,   1,   2,    10,  164,    378,     439,   6068,     8135,     18555,     32035,   120384,    274964,   461135
1179,   0,   0,   2,     7,  120,    286,     317,   4224,     6304,     14590,     21536,    89235,    208868,   345489
1178,   0,   0,   2,    11,  227,    365,     734,   5161,     9318,     26616,     25350,   116804,    303574,   488162
1177,   1,   5,   3,    22,  462,   1015,    1070,  12953,    18209,     40159,     62966,   245174,    534025,   916064
1176,   0,   1,   2,    12,  216,    496,     619,   7045,    10308,     26650,     37809,   151498,    403892,   638548
1175,   0,   2,   1,    13,  240,    629,     533,   9014,    11263,     24350,     46940,   163327,    352323,   608635
1174,   0,   0,   2,    13,  274,    574,     609,   8678,    12428,     26374,     47501,   184290,    383659,   664402
1173,   0,   1,   1,    12,  177,    417,     439,   6898,     8329,     17822,     36610,   124474,    257452,   452632
1172,   0,   1,   4,    11,  203,    391,     514,   5872,     9095,     22709,     30675,   131419,    329902,   530796
1171,   0,   1,   2,     9,  255,    432,     523,   6358,     8970,     19299,     28695,   117633,    254303,   436480
1170,   0,   1,   5,     8,  224,    426,     595,   5716,     9295,     24591,     30172,   128534,    337137,   536704
1169,   0,   0,   0,     7,  139,    292,     314,   4583,     6508,     13478,     24286,   100636,    207470,   357713
1168,   0,   5,   4,    11,  226,    396,     792,   5527,     9439,     29055,     27919,   123027,    357787,   554188
1167,   0,   1,   2,     4,  153,    276,     320,   3888,     6038,     14086,     20061,    84321,    195936,   325086
1166,   0,   2,   1,    13,  188,    388,     519,   5522,     9127,     21146,     27497,   120542,    279525,   464470
1165,   0,   0,   1,     4,  122,    200,     287,   2738,     4651,     11541,     14829,    67726,    165221,   267320
1164,   0,   0,   1,     5,  157,    350,     483,   5200,     8174,     22625,     27564,   116507,    323228,   504294
1163,   0,   0,   0,     6,  154,    399,     308,   5364,     7137,     14755,     26384,    95394,    201504,   351405
1162,   0,   0,   3,     5,  176,    259,     370,   4315,     6692,     17725,     22464,    95517,    260761,   408287
1161,   0,   0,   1,     8,   98,    259,     206,   3811,     4550,     10188,     22285,    69837,    150069,   261312
1160,   1,   0,   3,     9,  255,    594,     558,   8160,    11192,     24328,     41434,   158420,    349915,   594869
1159,   0,   0,   3,     8,  173,    325,     537,   4370,     6953,     21691,     23274,    98408,    281432,   437174
1158,   0,   2,   5,     9,  244,    603,     524,   8301,    10695,     23561,     43059,   150183,    325090,   562276
1157,   0,   1,   0,     1,  146,    281,     352,   4009,     7064,     16885,     21172,    96838,    237902,   384651
1156,   0,   0,   0,    10,  157,    327,     405,   4982,     7691,     18332,     26432,   117032,    281081,   456449
1155,   0,   1,   2,     4,   97,    249,     262,   3737,     5036,     11725,     20664,    74095,    171448,   287320
1154,   0,   2,   3,     9,  195,    549,     443,   7695,     8665,     18889,     39606,   123541,    263937,   463534
1153,   0,   1,   1,     0,  124,    221,     268,   3326,     5135,     11783,     18427,    75170,    174336,   288792
1152,   0,   1,   1,     8,  194,    393,     437,   5341,     8523,     19882,     28554,   117473,    270579,   451386
1151,   0,   1,   9,     7,  322,    654,     640,   9001,    13151,     29274,     45575,   185077,    409692,   693403
1150,   0,   1,   3,    17,  358,    857,     809,  12527,    16374,     34009,     65299,   229768,    484478,   844500
1149,   0,   0,   4,    18,  262,    706,     571,  10048,    11899,     25362,     53422,   167951,    350400,   620643
1148,   0,   0,   4,    29,  489,    893,     978,  12626,    20040,     40856,     63214,   275990,    562016,   977135
1147,   0,   2,   0,     6,  150,    231,     345,   3353,     5609,     14311,     17823,    83465,    208630,   333925
1146,   0,   0,   3,    10,  155,    380,     346,   5487,     7787,     16057,     30776,   118346,    240939,   420286
1145,   0,   1,   0,     4,  121,    250,     286,   3629,     5629,     11904,     20371,    81172,    168666,   292033
1144,   0,   1,   2,    11,  169,    385,     400,   5522,     8386,     18113,     28826,   114034,    257589,   433438
1143,   0,   0,   5,     6,  169,    311,     359,   4431,     6658,     15349,     22934,    93874,    215296,   359392
1142,   0,   1,   4,     6,  127,    413,     363,   6453,     7597,     16423,     35296,   118814,    251705,   437202
1141,   0,   1,   1,     3,  101,    223,     247,   2828,     4842,     11374,     15085,    66162,    163929,   264796
1140,   0,   1,   0,     4,  157,    308,     357,   4637,     6552,     17062,     24073,    98065,    262410,   413626
1139,   0,   2,   1,     6,  151,    407,     445,   5525,     8094,     21102,     29720,   119206,    319509,   504168
1138,   0,   1,   3,     7,  250,    440,     562,   6859,    10875,     27305,     35999,   158801,    395007,   636109
1137,   0,   1,   5,    10,  224,    447,     542,   5646,     8804,     20827,     29519,   124619,    288499,   479143
1136,   0,   3,   2,    11,  199,    544,     453,   8823,     9753,     21097,     47588,   149929,    316305,   554707
1135,   0,   0,   2,     6,  136,    340,     351,   4842,     7110,     16710,     25626,   105157,    247323,   407603
1134,   0,   1,   2,    10,  207,    388,     530,   5727,     8754,     22219,     30670,   129108,    329058,   526674
1133,   0,   1,   1,     7,  124,    323,     305,   4430,     6029,     13990,     23670,    90868,    210726,   350474
1132,   0,   0,   4,     7,  240,    430,     574,   6100,     9793,     24375,     31047,   134407,    324996,   531973
1131,   0,   0,   4,    10,  110,    308,     230,   4772,     5565,     11678,     26588,    83672,    174697,   307634
1130,   0,   0,   0,     6,  121,    326,     313,   5489,     6415,     14521,     32778,   101235,    221760,   382964
1129,   0,   1,   0,     8,  100,    235,     223,   3351,     4665,     11213,     17519,    69442,    170713,   277470
1128,   0,   2,   0,     8,  268,    447,     640,   6900,    11026,     27696,     35820,   157704,    392831,   633342
1127,   1,   0,   1,     3,  147,    331,     383,   4642,     6922,     15668,     24508,    98862,    224892,   376360
1126,   0,   1,   1,     7,  174,    398,     411,   5630,     7854,     18566,     29951,   116040,    274677,   453710
1125,   0,   0,   1,     9,  148,    367,     321,   5250,     6494,     13269,     26885,    93790,    189307,   335841
1124,   0,   0,   3,     6,  157,    288,     361,   4402,     6856,     16881,     22780,   103221,    253058,   408013
1123,   0,   0,   0,     8,  102,    263,     195,   4288,     4494,      9815,     25881,    71194,    146907,   263147
1122,   0,   0,   0,     7,  145,    397,     344,   5408,     6643,     14585,     30884,    96376,    209025,   363814
1121,   0,   0,   2,     5,  119,    346,     281,   5021,     5511,     12098,     27476,    81785,    173253,   305897
1120,   0,   0,   1,     6,  144,    280,     339,   3926,     6047,     17023,     21164,    88800,    245404,   383134
1119,   0,   0,   0,     5,  127,    245,     236,   3697,     5385,     12013,     18943,    76525,    165928,   283104
1118,   0,   0,   0,    13,  156,    380,     340,   5984,     6801,     14813,     33234,   102453,    218731,   382905
1117,   0,   0,   2,     9,  133,    245,     231,   3594,     4932,     10134,     20777,    74148,    151836,   266041
1116,   0,   0,   5,    16,  225,    485,     437,   7169,    10180,     20572,     37266,   146864,    298421,   521640
1115,   0,   1,   1,     6,  136,    317,     298,   4493,     6114,     12249,     23342,    86524,    179031,   312512
1114,   0,   0,   2,     9,  186,    481,     459,   6756,     9330,     19146,     35568,   139167,    280151,   491255
1113,   0,   0,   1,     1,  101,    208,     232,   2852,     4497,     11462,     15270,    68132,    172005,   274761
1112,   0,   0,   4,    14,  295,    657,     606,   7506,    10639,     21944,     36136,   133374,    276538,   487713
1111,   0,   0,   4,     4,  120,    232,     309,   2886,     4870,     12759,     14706,    68972,    177607,   282469
1110,   0,   2,   2,     3,  129,    302,     332,   4635,     6505,     14637,     24460,    96671,    218600,   366278
1109,   0,   1,   2,     6,  119,    307,     275,   4252,     5627,     12181,     23640,    79418,    167744,   293572
1108,   0,   1,   2,     7,  204,    304,     457,   4414,     7980,     20162,     23509,   112503,    281103,   450646
1107,   0,   0,   2,     5,  122,    283,     266,   4449,     5508,     11684,     23495,    81640,    175140,   302594
1106,   0,   0,   3,     9,  150,    261,     329,   4172,     6499,     15800,     21743,    96050,    234301,   379317
1105,   1,   1,   2,    11,  248,    720,     476,  10102,    10956,     22811,     52324,   157585,    325133,   580370
1104,   0,   1,   6,    21,  388,    854,     811,  11660,    15878,     34541,     60318,   225041,    500181,   849700
1103,   0,   0,   0,     5,  107,    302,     252,   3988,     5125,     11387,     22683,    77620,    168006,   289475
1102,   0,   1,   5,    11,  258,    549,     532,   8210,    11491,     24022,     45165,   168193,    356210,   614647
1101,   0,   0,   3,     1,   80,    168,     253,   2776,     4263,     11332,     14151,    60526,    167399,   260952
1100,   0,   0,   0,     8,  187,    446,     387,   7122,     8275,     18434,     39968,   127420,    275419,   477666
1099,   0,   0,   0,     7,  128,    344,     272,   5348,     5951,     12132,     29314,    86334,    180905,   320735
1098,   0,   0,   2,    23,  219,    495,     547,   7136,    10157,     22209,     36168,   141145,    308666,   526767
1097,   0,   0,   1,     2,  135,    210,     275,   3430,     5436,     12537,     17396,    80023,    184453,   303898
1096,   0,   1,   0,     4,  166,    362,     407,   5327,     8235,     18974,     27649,   118258,    276487,   455870
1095,   0,   0,   0,     4,  100,    247,     244,   3382,     4858,     10835,     18273,    72745,    163074,   273762
1094,   0,   1,   0,     7,  194,    321,     616,   4774,     8018,     23365,     24179,   106354,    299814,   467643
1093,   0,   1,   0,     5,  156,    294,     433,   3652,     6475,     17702,     19195,    90635,    241618,   380166
1092,   0,   1,   8,    12,  185,    359,     543,   4701,     7498,     21637,     24529,   105660,    301248,   466381
1091,   0,   1,   2,     9,  129,    362,     314,   5171,     6158,     13294,     27234,    88276,    185159,   326109
1090,   0,   1,   2,     6,  140,    287,     349,   4205,     6072,     16423,     22512,    92067,    251664,   393728
1089,   0,   0,   2,     4,   87,    241,     223,   3212,     4499,      9970,     17549,    69069,    155499,   260355
1088,   1,   0,   5,    41,  516,   1524,    1028,  21031,    22822,     45929,    104188,   324549,    663407,  1185041
1087,   0,   4,   7,    15,  347,    598,     770,   8480,    13796,     31386,     42877,   183389,    419291,   700960
1086,   0,   2,   5,    12,  299,    648,     723,   9008,    14107,     32388,     46954,   198939,    465737,   768822
1085,   0,   0,   0,    12,  274,    521,     705,   6936,    11167,     29405,     34968,   152565,    393337,   629890
1084,   0,   1,   4,    12,  289,    614,     619,   8720,    11848,     29403,     47128,   179199,    437522,   715359
1083,   0,   1,   3,     8,  253,    420,     592,   5996,     9868,     25363,     32011,   138823,    354908,   568246
1082,   0,   0,   2,    12,  229,    470,     502,   7355,    11063,     23344,     41716,   163462,    346166,   594321
1081,   0,   1,   1,    20,  243,    487,     428,   6232,     9536,     18295,     31010,   128195,    253974,   448422
1080,   0,   0,   5,    26,  273,    693,     571,  10053,    11343,     24159,     51631,   157542,    335035,   591331
1079,   0,   1,   4,    11,  294,    481,     528,   6407,    11106,     21144,     31253,   142046,    278756,   492031
1078,   0,   0,   3,    14,  244,    605,     511,   9286,    10784,     22323,     48380,   155175,    321078,   568403
1077,   0,   0,   3,     5,  141,    290,     335,   3807,     6234,     14673,     20123,    88907,    216953,   351471
1076,   0,   2,   1,     9,  232,    555,     493,   7519,    10004,     21406,     37808,   140045,    300939,   519013
1075,   0,   1,   2,     6,  127,    335,     272,   4940,     5936,     12187,     25959,    87890,    179755,   317410
1074,   0,   1,   1,    14,  144,    445,     370,   6562,     7797,     16521,     35278,   113927,    243187,   424247
1073,   0,   0,   0,     3,  112,    286,     261,   3969,     5419,     12044,     19905,    78462,    174200,   294661
