Day,DD,MMM,YYYY,   Sales  ,   %Chg
Tue,14,May,2019,  32011673,  -24.2
Fri,10,May,2019,  42252548,  +32.8
Tue, 7,May,2019,  31826643,  -23.0
Fri, 3,May,2019,  41330066,  +24.5
Tue,30,Apr,2019,  33203867,  -21.8
Fri,26,Apr,2019,  42482820,  +31.6
Tue,23,Apr,2019,  32285053,  -25.7
Fri,19,Apr,2019,  43447463,  +31.1
Tue,16,Apr,2019,  33150425,  -25.9
Fri,12,Apr,2019,  44748460,  +11.0
Tue, 9,Apr,2019,  40306428,  -24.3
Fri, 5,Apr,2019,  53229248,  +40.4
Tue, 2,Apr,2019,  37908724,  -23.6
Fri,29,Mar,2019,  49626148,  +43.3
Tue,26,Mar,2019,  34638380,  -25.4
Fri,22,Mar,2019,  46437111,  +42.1
Tue,19,Mar,2019,  32677246,  -42.9
Fri,15,Mar,2019,  57181518,  +36.8
Tue,12,Mar,2019,  41790534,  -22.8
Fri, 8,Mar,2019,  54141239,  +41.0
Tue, 5,Mar,2019,  38409292,  -35.3
Fri, 1,Mar,2019,  59350402,  +67.9
Tue,26,Feb,2019,  35353393,  -26.8
Fri,22,Feb,2019,  48328468,  -30.8
Tue,19,Feb,2019,  69808192,  -17.3
Fri,15,Feb,2019,  84421104,  +29.3
Tue,12,Feb,2019,  65265795,  -18.5
Fri, 8,Feb,2019,  80067102,  +32.4
Tue, 5,Feb,2019,  60490007,  -33.0
Fri, 1,Feb,2019,  90229315, +103.0
Tue,29,Jan,2019,  44439491,  -18.8
Fri,25,Jan,2019,  54734143,  +34.9
Tue,22,Jan,2019,  40573396,  -22.7
Fri,18,Jan,2019,  52513994,  +35.9
Tue,15,Jan,2019,  38638633,  -23.6
Fri,11,Jan,2019,  50551687,  +37.4
Tue, 8,Jan,2019,  36789053,  -21.7
Fri, 4,Jan,2019,  46965341,  -23.0
Tue, 1,Jan,2019,  60973811,  -13.7
Fri,28,Dec,2018,  70661760,  +42.9
Tue,25,Dec,2018,  49458686,  -26.1
Fri,21,Dec,2018,  66894664,  +46.7
Tue,18,Dec,2018,  45600427,  -19.0
Fri,14,Dec,2018,  56320463,  +36.4
Tue,11,Dec,2018,  41296163,  -22.4
Fri, 7,Dec,2018,  53233299,  +40.1
Tue, 4,Dec,2018,  37990618,  -25.0
Fri,30,Nov,2018,  50639003,  +45.7
Tue,27,Nov,2018,  34748817,  -23.5
Fri,23,Nov,2018,  45423541,  +42.5
Tue,20,Nov,2018,  31886384,  -36.8
Fri,16,Nov,2018,  50414651,  +43.3
Tue,13,Nov,2018,  35171614,  -29.9
Fri, 9,Nov,2018,  50158643,  +44.5
Tue, 6,Nov,2018,  34717660,  -36.7
Fri, 2,Nov,2018,  54827951,  +30.0
Tue,30,Oct,2018,  42188421,  -22.9
Fri,26,Oct,2018,  54723268,  +40.8
Tue,23,Oct,2018,  38854088,  -22.6
Fri,19,Oct,2018,  50178923,  +42.9
Tue,16,Oct,2018,  35106041,  -25.1
Fri,12,Oct,2018,  46861345,  +39.7
Tue, 9,Oct,2018,  33554997,  -31.2
Fri, 5,Oct,2018,  48737388,  -29.8
Tue, 2,Oct,2018,  69428313,  -16.6
Fri,28,Sep,2018,  83225872,  +35.6
Tue,25,Sep,2018,  61354156,  -35.3
Fri,21,Sep,2018,  94898866, +157.4
Tue,18,Sep,2018,  36870375,  -23.4
Fri,14,Sep,2018,  48142570,  +43.8
Tue,11,Sep,2018,  33481699,  -25.5
Fri, 7,Sep,2018,  44960753,  +20.9
Tue, 4,Sep,2018,  37201270,  -22.0
Fri,31,Aug,2018,  47700964,  +41.1
Tue,28,Aug,2018,  33806711,  -26.5
Fri,24,Aug,2018,  45985640,  -12.9
Tue,21,Aug,2018,  52806778,  -12.9
Fri,17,Aug,2018,  60638519,  +31.8
Tue,14,Aug,2018,  46014421,  -16.9
Fri,10,Aug,2018,  55372392,  +36.4
Tue, 7,Aug,2018,  40605496,  -21.8
Fri, 3,Aug,2018,  51928725,  +37.6
Tue,31,Jul,2018,  37736184,  -21.3
Fri,27,Jul,2018,  47960699,  +44.1
Tue,24,Jul,2018,  33278241,  -26.3
Fri,20,Jul,2018,  45147670,  +44.7
Tue,17,Jul,2018,  31195213,  -44.1
Fri,13,Jul,2018,  55763055,  +46.5
Tue,10,Jul,2018,  38076355,  -22.8
Fri, 6,Jul,2018,  49316109,  +42.5
Tue, 3,Jul,2018,  34597435,  -23.9
Fri,29,Jun,2018,  45487133,  +45.6
Tue,26,Jun,2018,  31244183,  -26.1
Fri,22,Jun,2018,  42254955,  +28.3
Tue,19,Jun,2018,  32932697,  -26.6
Fri,15,Jun,2018,  44849669,  +41.0
Tue,12,Jun,2018,  31799224,  -31.3
Fri, 8,Jun,2018,  46289749,  +44.7
Tue, 5,Jun,2018,  31989495,  -43.7
Fri, 1,Jun,2018,  56867232,  +56.7
Tue,29,May,2018,  36294949,  -27.1
Fri,25,May,2018,  49788887,  +49.3
Tue,22,May,2018,  33356636,  -28.4
Fri,18,May,2018,  46596523,  +40.8
Tue,15,May,2018,  33093736,  -25.9
Fri,11,May,2018,  44639668,  +27.6
Tue, 8,May,2018,  34993771,  -30.0
Fri, 4,May,2018,  49998889,  +58.5
Tue, 1,May,2018,  31550321,  -34.3
Fri,27,Apr,2018,  48050999,  -15.0
Tue,24,Apr,2018,  56519901,  -35.0
Fri,20,Apr,2018,  87011065, +148.6
Tue,17,Apr,2018,  34994084,  -41.6
Fri,13,Apr,2018,  59903706,  +82.5
Tue,10,Apr,2018,  32820289,  -39.5
Fri, 6,Apr,2018,  54278924,  +48.8
Tue, 3,Apr,2018,  36484727,  -27.5
Fri,30,Mar,2018,  50354219,  +39.8
Tue,27,Mar,2018,  36012598,  -26.1
Fri,23,Mar,2018,  48699208,  +42.5
Tue,20,Mar,2018,  34183462,  -28.7
Fri,16,Mar,2018,  47945015,  +16.6
Tue,13,Mar,2018,  41132504,  -23.5
Fri, 9,Mar,2018,  53794208,  +39.8
Tue, 6,Mar,2018,  38486526,  -23.6
Fri, 2,Mar,2018,  50393853,  +39.8
Tue,27,Feb,2018,  36039929,  -66.5
Fri,23,Feb,2018, 107672589,  +56.0
Tue,20,Feb,2018,  69032238,  -13.3
Fri,16,Feb,2018,  79640508,  +32.2
Tue,13,Feb,2018,  60242902,  -21.5
Fri, 9,Feb,2018,  76765800,  +31.8
Tue, 6,Feb,2018,  58246284,  -15.1
Fri, 2,Feb,2018,  68582951,  +46.1
Tue,30,Jan,2018,  46951741,  -21.8
Fri,26,Jan,2018,  60010714,  +37.0
Tue,23,Jan,2018,  43817393,  -22.8
Fri,19,Jan,2018,  56767035,  +37.7
Tue,16,Jan,2018,  41235007,  -24.1
Fri,12,Jan,2018,  54314232,  +47.3
Tue, 9,Jan,2018,  36872150,  -24.7
Fri, 5,Jan,2018,  48995782,  +52.8
Tue, 2,Jan,2018,  32063846,  -45.1
Fri,29,Dec,2017,  58400002,  +84.1
Tue,26,Dec,2017,  31730200,  -39.9
Fri,22,Dec,2017,  52767727,   -9.8
Tue,19,Dec,2017,  58502723,  -18.5
Fri,15,Dec,2017,  71777263,  +33.1
Tue,12,Dec,2017,  53927592,  -15.5
Fri, 8,Dec,2017,  63802103,  +32.9
Tue, 5,Dec,2017,  48012341,  -19.2
Fri, 1,Dec,2017,  59454221,  +40.0
Tue,28,Nov,2017,  42477656,  -23.9
Fri,24,Nov,2017,  55852301,  +44.3
Tue,21,Nov,2017,  38699238,  -28.9
Fri,17,Nov,2017,  54424586,  +51.1
Tue,14,Nov,2017,  36019661,  -31.3
Fri,10,Nov,2017,  52423351,  +48.8
Tue, 7,Nov,2017,  35221957,  -26.8
Fri, 3,Nov,2017,  48106379,  +40.3
Tue,31,Oct,2017,  34278913,  -28.3
Fri,27,Oct,2017,  47807162,  +18.0
Tue,24,Oct,2017,  40519016,  -26.1
Fri,20,Oct,2017,  54816456,  +43.2
Tue,17,Oct,2017,  38276455,  -42.4
Fri,13,Oct,2017,  66495762,  +74.3
Tue,10,Oct,2017,  38139517,  -68.2
Fri, 6,Oct,2017, 120003558,  +22.5
Tue, 3,Oct,2017,  97979161,   -2.2
Fri,29,Sep,2017, 100144727,  +41.1
Tue,26,Sep,2017,  70998122,  -17.6
Fri,22,Sep,2017,  86188913,  +37.5
Tue,19,Sep,2017,  62697585,  -33.9
Fri,15,Sep,2017,  94883433, +154.9
Tue,12,Sep,2017,  37221319,  -23.4
Fri, 8,Sep,2017,  48571184,  +46.8
Tue, 5,Sep,2017,  33089651,  -30.9
